Bedrooms,Bathrooms,Price,Areasqft
5,3,375000,8712
3,2,275490,10890
3,2,325000,6098
4,2,372500,2127
4,3,450000,8100
3,2,228790,5663
3,2,309490,2033
4,4,1156000,3023
3,2,515000,8276
4,2,149900,113256
3,2,249900,40510.8
3,2,165000,69260.4
3,1,70000,6098
3,1,161200,20037.6
4,2,239000,54450
3,2,174900,14810.4
3,2,195000,23086.8
5,6,1100000,313632
3,1,249999,696960
4,2,190000,10890
3,2,249900,100188
3,2,135900,13939.2
3,2,165000,11761.2
3,2,219900,43560
3,2,225000,19602
3,2,130000,14810.4
4,1,159900,14810.4
5,3,349900,2876
3,1,65500,7841
3,2,199219,34412.4
5,3,524900,139392
4,2,369900,2293
3,2,229900,10018.8
4,3,495000,144183.6
4,4,477700,11325.6
4,1,217000,44866.8
3,2,159900,10890
6,5,2850000,4468
4,2,308900,1768
1,1,315000,1100
4,3,349900,8712
4,3,649000,13939.2
3,3,294900,1065
4,3,454000,81457.2
4,2,475700,2806
5,3,499900,2932
4,3,599900,2128
5,3,634900,16117.2
3,2,329000,9148
3,2,199900,18730.8
4,3,449500,71002.8
4,2,260900,10454.4
4,3,479000,10890
3,2,249000,121968
3,2,184900,14810.4
3,2,379900,1660
3,2,550000,3539
5,4,1799000,60112.8
3,2,427250,2575
5,2,363900,2618
3,2,435880,2586
3,2,440750,2586
4,2,374250,2830
3,1,111000,436
3,1,59900,6098
3,1,129000,436
3,2,262000,1823
5,3,391090,2409
3,1,95000,1698
4,2,169900,1996
4,2,332400,1815
3,2,345400,2033
4,4,470489,13503.6
4,4,515340,13068
4,2,399900,2151
4,2,274400,1497
4,2,285400,1497
3,2,258400,1272
5,2,317900,2632
3,2,264400,1272
4,2,286395,1774
4,2,372900,2806
3,2,264900,1650
3,2,264900,1650
4,2,302900,1497
5,3,354900,2511
5,2,364900,2618
4,2,294900,1497
3,2,351900,2175
3,2,269900,1650
4,2,274900,1791
4,2,295364,1787
5,2,372300,2632
4,2,351986,2146
4,2,279900,1791
4,3,360650,2304
4,3,385580,2751
4,2,295364,1791
4,4,437853,3160
4,3,370900,2486
4,3,399899,2667
4,3,419900,2203
4,3,395706,2486
4,3,395706,2486
4,3,484999,2969
3,2,289900,1641
3,2,389900,1913
4,2,169900,130680
3,2,30000,16117.2
3,2,139000,10018.8
3,2,199900,18730.8
3,1,124900,121968
3,2,170000,21780
4,2,400000,41382
3,2,290000,7841
3,2,289900,16117.2
4,3,560000,16552.8
4,2,324900,1774
5,3,529390,2932
3,2,249400,1392
3,2,262400,1343
4,3,396300,2543
3,2,267400,1392
4,2,294400,1649
4,2,300400,1649
3,2,269900,1392
5,3,341900,2511
4,2,281900,1649
3,2,369900,2183
4,2,308901,1649
4,2,375900,2315
4,3,406400,2543
4,2,318900,1649
4,2,344900,1885
4,3,399900,2543
4,3,417900,2710
5,4,439900,2790
4,2,398400,2815
4,2,398800,2815
5,4,437900,2800
5,3,377500,2511
5,3,375900,2511
4,2,341800,2414
4,2,343500,2402
3,2,259900,47044.8
3,2,260000,26136
3,1,189000,18730.8
3,2,199900,10454.4
3,2,189000,1672
3,2,250000,9226
4,3,389000,26571.6
2,1,149900,1026
3,2,154900,14810.4
3,2,350000,16117.2
3,2,349900,17859.6
3,2,489000,6000
3,1,299900,21780
3,2,264400,1272
5,3,1900000,89298
4,2,283400,1497
3,2,257900,1272
4,2,252900,10454.4
3,2,699999,4268880
3,2,333760,1846
4,2,296900,1497
4,2,353000,2306
5,3,559900,9583
4,3,433622,2785
4,3,375480,2486
4,2,302476,2031
4,3,425722,2785
4,2,441250,2306
4,3,420722,2785
4,2,262900,7841
3,2,317710,1765
3,2,372970,1925
4,2,377390,1961
4,2,424860,2314
3,2,334900,2510
3,2,385000,11325.6
3,2,229000,1374
3,2,247500,10890
3,2,169900,10018.8
5,4,498900,14810.4
3,3,229000,200811.6
4,2,118500,91476
3,2,210000,653400
4,5,899900,44866.8
4,2,159000,7405
4,2,131500,1247
3,2,109000,37897.2
2,1,29900,16117.2
4,3,479900,12632.4
3,2,119900,130680
3,2,355000,2800
4,2,250000,10890
3,2,355000,43560
4,3,349900,14810.4
4,3,375000,11325.6
3,2,280000,3575
6,4,230265,26136
3,2,280000,22215.6
3,2,179900,871
3,2,249900,8276
3,2,540000,35283.6
3,2,249000,30492
5,2,350000,609840
5,5,369000,9583
6,5,787000,34848
4,3,517600,33105.6
2,1,59900,3485
5,3,495000,15246
3,2,125000,16117.2
5,4,899000,38332.8
3,2,259900,21780
3,2,240000,6098
4,2,279000,82764
3,2,149900,30492
5,2,198000,24829.2
3,1,149900,10454.4
3,2,159900,15246
3,2,209900,174240
3,1,80000,11761.2
3,1,129900,15681.6
3,2,159000,82764
3,1,79000,13068
4,2,224900,23958
2,1,53900,8276
3,2,156000,13503.6
2,1,89900,7405
4,3,199000,2464
3,1,139000,988
3,2,249900,10018.8
3,2,174900,10890
3,3,729900,213444
3,2,395000,426888
4,2,250000,3001
3,2,169900,18295.2
3,2,274900,21344.4
3,2,290000,6098
4,2,399900,2422
4,3,689900,13939.2
3,2,225000,8712
3,2,259900,21780
5,3,362000,12632.4
4,3,1795000,23522.4
3,3,555000,5706
3,2,505900,18295.2
3,2,283000,7405
3,4,658507,1507
3,2,450000,8712
4,2,780000,222156
4,4,950000,1981
3,2,385000,8712
3,2,524900,2708
4,3,695000,3087
4,3,729900,11761.2
3,2,530775,8276
4,3,633086,8276
3,2,160000,12632.4
2,1,59000,6970
4,2,378600,11325.6
5,4,414900,7841
4,3,657000,8276
3,1,115920,14810.4
4,2,319900,191228.4
4,3,492689,16988.4
3,2,189900,11761.2
4,2,190200,20037.6
3,2,343796,11761.2
3,3,849000,374180.4
3,2,248000,16988.4
4,2,307740,10454.4
4,2,400000,13503.6
3,2,336077,1412
3,2,272000,7420
3,2,339000,7841
2,2,2050000,2218
3,1,48999,8712
3,1,38900,20037.6
3,2,99999,129373.2
3,3,2575000,2582
3,1,305000,1648746
6,5,1100000,10018.8
5,4,899900,14374.8
5,3,424900,33105.6
4,3,376180,14374.8
4,3,370180,10454.4
3,3,1895000,1991
1,1,214900,555
1,1,214900,555
3,3,324900,436
4,3,1400000,583268.4
3,3,1735000,1826
3,2,210000,17859.6
1,1,875000,921
3,2,190000,16117.2
2,2,395000,392040
5,5,2950000,59677.2
3,3,695000,22215.6
5,4,864900,91911.6
4,2,374900,126759.6
6,6,1229000,222156
3,2,69900,26136
4,2,297000,2074
3,2,149000,16117.2
4,2,325000,15681.6
3,2,195000,1800
3,2,244000,27007.2
3,3,695000,187308
2,2,419000,12632.4
3,3,399000,87120
3,2,309900,5663
3,2,162000,12632.4
3,2,315000,43560
3,2,266000,1915
3,2,244900,32234.4
5,3,420000,6098
4,2,235000,1779
2,1,140000,9348
4,3,950500,261360
3,2,99900,26136
4,3,199950,16988.4
3,2,174900,4356
3,3,399000,2811
3,1,175000,20473.2
4,2,299900,54450
3,2,239500,18295.2
3,2,374900,217800
5,4,449900,13068
4,2,229900,27007.2
7,7,3900000,79279.2
3,2,242000,9148
3,2,133600,18730.8
3,2,199050,6098
2,1,83900,87120
3,2,189333,13068
5,3,299900,43560
5,3,329900,245678.4
5,2,219000,9148
2,2,169900,28314
3,2,220000,12196.8
3,2,67600,26136
2,1,20000,12196.8
3,2,329900,43560
4,2,239900,13939.2
3,2,175000,14810.4
3,2,250000,6970
4,2,475000,26136
3,1,65000,10890
4,3,450000,392040
3,2,205000,7935
3,3,420000,65340
4,3,440000,2722
2,1,249900,930
3,2,475000,10454.4
3,2,699900,34848
4,3,759999,1960200
3,3,594900,1734
6,4,725000,60548.4
4,4,1368185,265716
3,2,599900,11761.2
4,2,569900,10018.8
4,3,929000,10890
4,3,659900,2998
3,2,369900,4356
3,1,75000,6970
3,2,419000,22651.2
4,3,424900,17424
5,3,398800,6970
5,3,449900,10890
2,2,294900,871
3,2,267900,1497
5,3,899900,17859.6
4,3,374900,2661
3,3,629900,16117.2
3,1,115920,14810.4
3,2,315000,43560
3,2,309900,5663
3,2,162000,12632.4
4,2,235000,1779
4,2,575000,28314
2,2,290000,430808.4
3,2,105000,17859.6
3,2,99900,26136
3,2,210000,18295.2
4,3,499000,3197
4,3,199950,16988.4
3,2,174900,4356
3,1,175000,20473.2
3,3,399000,2811
3,2,175000,11761.2
3,2,229900,86248.8
3,2,239500,18295.2
5,3,499000,65340
3,2,374900,217800
3,2,1900000,8712
3,2,249900,1952
3,2,133600,18730.8
3,2,175000,10890
2,1,83900,87120
3,2,162150,14810.4
3,2,189333,13068
4,3,379900,20037.6
3,2,190000,21780
5,3,379000,21780
3,2,350000,23958
4,2,295000,265716
2,2,195000,23086.8
4,1,99950,52272
4,3,489000,261360
4,3,379900,100188
3,2,96000,12196.8
3,2,189900,54450
4,3,295000,39204
4,2,279900,1497
3,2,270400,1497
4,3,368327,2614
3,2,500190,2175
4,3,399220,2486
4,3,396276,2486
4,3,435070,2785
5,4,497976,3537
4,3,423017,2785
4,3,404958,2402
4,3,410911,2503
4,2,314400,1774
4,2,299900,1774
5,3,324975,2511
4,2,304900,2363
4,2,290400,1774
4,2,289900,1774
4,3,448010,2475
4,2,264900,1774
4,2,287595,1774
3,2,260400,1272
4,2,274900,1774
4,2,274900,1774
3,2,262400,1272
3,2,249400,1272
3,2,416700,2175
4,3,349900,2785
4,3,355170,2785
4,3,324900,2304
4,2,305300,2250
4,3,334900,2486
4,3,410142,2785
4,3,410142,2785
4,2,307125,2091
4,2,295364,1787
4,2,295364,1787
4,2,295364,1791
4,2,295364,1787
4,2,295364,1791
4,2,295364,1791
4,2,295364,1787
4,2,295364,1791
4,2,295364,1787
4,2,302476,2031
5,3,319900,2197
3,2,290284,1641
3,2,287284,1641
